Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel
2144.234375,2144.65234375,2145.0,0.765625,67.24671980784865,15.343113404972641,2.3543805708470953,0.3199230059871386,13.132271894957706,9.0,0.5431472081218274,CP6A1,17
2189.78515625,2190.1171875,2190.45703125,0.671875,37.01989178726552,10.14439704078842,1.9663190729081477,0.2840955781710837,12.968365485879488,9.0,0.4913294797687861,CP6A1,17
2201.703125,2202.3984375,2202.7578125,1.0546875,68.97500881421402,11.985819897374837,2.125361724716467,0.37853609861172005,12.954400618146398,14.0,0.6568265682656826,CP6A1,17
2222.875,2223.22265625,2223.734375,0.859375,44.552592171924516,9.892863420840833,2.0201501229455623,0.34549827494719193,12.731734587031617,10.0,0.40271493212669685,CP6A1,17
2243.8515625,2244.06640625,2244.22265625,0.37109375,19.538121017650496,5.706315726167885,1.705595685707607,0.25957679658729177,12.541107648704132,4.0,0.5729166666666666,CP6A1,17
2311.2109375,2311.42578125,2311.79296875,0.58203125,38.220705700594166,8.778656401290785,1.8206350346371662,0.27324603136069714,12.83403940217219,7.0,0.36666666666666664,CP6A1,17
2314.76171875,2315.10546875,2315.34375,0.58203125,46.58741725235591,10.42896141733278,2.133791586800989,0.31560706378584125,12.630177168608572,7.0,0.5866666666666667,CP6A1,17
2324.50390625,2324.78515625,2324.96875,0.46484375,41.31745670694073,10.677606268726198,2.0142341349558044,0.32157515824742067,11.512413852308688,6.0,0.6,CP6A1,17
2339.24609375,2339.42578125,2339.703125,0.45703125,35.308243151785184,9.493734571089714,2.05164007236282,0.28603562465954785,12.611908470934305,6.0,0.3898305084745763,CP6A1,17
2376.30859375,2376.4765625,2376.77734375,0.46875,57.552107834848705,12.826202903181043,2.26348814222815,0.2927551518690936,12.930015481656195,6.0,0.35537190082644626,CP6A1,17
2380.37109375,2380.5703125,2380.9609375,0.58984375,55.00643024457064,12.605674091142705,2.2251978350440234,0.363486867267803,12.274087892217622,7.0,0.3355263157894737,CP6A1,17
2444.91796875,2445.0703125,2445.265625,0.34765625,44.662822597629486,11.363263383709919,2.2816075724291167,0.21858952187202868,13.543341604765057,4.0,0.43333333333333335,CP6A1,17
2479.9296875,2479.98046875,2480.27734375,0.34765625,37.59198084955777,9.607091127217199,1.9288634965241576,0.248877756436947,12.157663905686418,4.0,0.14444444444444443,CP6A1,17
2658.55078125,2658.8671875,2659.06640625,0.515625,42.713797935149145,10.321789325191647,2.0398023973005603,0.3008489358171653,13.092732152541679,7.0,0.6090225563909775,CP6A1,17
2812.296875,2812.42578125,2812.76953125,0.47265625,31.33456739880558,8.406263155129139,2.0110721239771836,0.2336428906305232,13.29235537503568,6.0,0.27049180327868855,CP6A1,17
2837.96484375,2838.31640625,2838.3984375,0.43359375,33.832574163003954,7.285215147648475,1.7687740383945325,0.32779046719354377,13.050533290894572,4.0,0.8035714285714286,CP6A1,17
2846.29296875,2846.53515625,2846.64453125,0.3515625,30.667815680866465,7.5635756021865586,1.849991778553277,0.2667745183467125,12.815475960213355,5.0,0.6813186813186813,CP6A1,17
3009.48828125,3009.76171875,3010.58984375,1.1015625,42.41823463764487,9.056388599099158,1.8355235080795813,0.4985955406805104,12.089668964351672,11.0,0.24734982332155478,CP6A1,17
3027.60546875,3027.72265625,3028.109375,0.50390625,31.546056746958136,7.433128456267435,1.757012604629782,0.3040068946125269,12.890665552625954,6.0,0.23076923076923078,CP6A1,17
3031.80078125,3031.90625,3032.58203125,0.78125,42.45332069912566,8.682462217633988,1.6892276610327452,0.26353813905778545,12.249440292809549,9.0,0.13432835820895522,CP6A1,17
3061.5859375,3061.7890625,3061.93359375,0.34765625,30.248997200112782,7.758360500441489,1.8201707942897107,0.3821649124186232,11.376740736058279,4.0,0.5777777777777777,CP6A1,17
3074.29296875,3074.76171875,3075.0390625,0.74609375,32.153634309387925,7.704041473215043,1.8353479417449834,0.3982128146456565,11.073817380926982,9.0,0.625,CP6A1,17
3080.171875,3080.3515625,3081.3671875,1.1953125,39.53201648765625,7.392237470425528,1.7325707633693321,0.49621802044520713,12.621854578509339,14.0,0.1498371335504886,CP6A1,17
3156.09375,3157.11328125,3157.390625,1.296875,33.85105963240504,7.378608178400378,1.6137482788233268,0.4081865977301331,14.003447171899419,15.0,0.7837837837837838,CP6A1,17
3169.8515625,3169.98828125,3170.234375,0.3828125,26.518250073661868,6.610132251286455,1.847580874389314,0.4819755489374104,12.195105711972417,5.0,0.35353535353535354,CP6A1,17
3173.24609375,3173.40234375,3173.55078125,0.3046875,28.44778833760668,5.941641603675195,1.6980521109715874,0.5120324014805601,12.388538666838773,3.0,0.5063291139240507,CP6A1,17
3179.24609375,3179.390625,3179.5703125,0.32421875,25.098783447736032,6.399356208947522,1.645384279013738,0.3469549486193692,11.254867000922717,4.0,0.44047619047619047,CP6A1,17
3186.01953125,3186.1953125,3186.34765625,0.328125,24.82760534494438,5.943331222157118,1.7749806392190046,0.46342278387955105,13.766270907194006,5.0,0.5294117647058824,CP6A1,17
3226.47265625,3226.8984375,3227.00390625,0.53125,35.677669353215904,8.389098344739955,1.8986695788806014,0.3480330276599775,10.217637927284947,6.0,0.7956204379562044,CP6A1,17
3252.96484375,3253.16796875,3253.5625,0.59765625,31.021778618222488,6.815881048592243,1.807335784855082,0.6762143997777278,12.770708395205261,8.0,0.33766233766233766,CP6A1,17
3259.875,3260.21875,3260.35546875,0.48046875,25.79784232046487,6.007432062052677,1.740888946292169,0.48762138963003054,12.954685353623145,6.0,0.7096774193548387,CP6A1,17
3262.16015625,3262.26953125,3262.4765625,0.31640625,32.48520386838739,9.418171848911623,1.9099657053152237,0.23631001956120462,12.107351561276818,3.0,0.34146341463414637,CP6A1,17
3264.53515625,3264.8671875,3265.12109375,0.5859375,37.620054209376235,7.990804254892634,1.8016091443934352,0.36924831471549024,12.788749707057153,7.0,0.5629139072847682,CP6A1,17
3305.6015625,3305.875,3306.640625,1.0390625,35.187333080428054,7.136663549481944,1.720584321799173,0.46149618477929,14.190244536651926,14.0,0.26217228464419473,CP6A1,17
3338.3984375,3338.5859375,3338.73046875,0.33203125,24.317352899669377,6.0609063585644884,1.720521511280976,0.49624866993968675,12.033093051307443,4.0,0.5581395348837209,CP6A1,17
3352.23046875,3352.640625,3353.09375,0.86328125,34.37471436526337,7.248007906424009,1.9477185314219705,0.6978815251134649,10.982811060607126,9.0,0.47297297297297297,CP6A1,17
3356.73828125,3356.77734375,3357.10546875,0.3671875,37.627057596467864,9.459664062795849,1.8208656761792714,0.3085561642457823,12.966989274563208,4.0,0.10526315789473684,CP6A1,17
3412.2578125,3412.42578125,3412.5625,0.3046875,33.76082753104774,8.294858729601575,1.7918324494996982,0.3194892779350646,14.767225822237219,3.0,0.5443037974683544,CP6A1,17
3413.66796875,3414.1171875,3414.2421875,0.57421875,28.90339007458391,6.5861826470304665,1.7097767835480997,0.4467253829944284,12.684533931860145,5.0,0.777027027027027,CP6A1,17
3440.76953125,3440.84765625,3441.23828125,0.46875,38.9564276535374,7.901280848812479,1.8155446608304282,0.3915210215845276,12.504996441935514,6.0,0.1652892561983471,CP6A1,17
3447.61328125,3447.82421875,3448.25,0.63671875,30.884457933907335,6.996156656601615,1.7295984792058983,0.5511076917882789,11.25824683213576,7.0,0.32926829268292684,CP6A1,17
3470.06640625,3470.1796875,3470.640625,0.57421875,30.857183421965843,8.0933124891997,1.7933142836713178,0.35093134031765444,12.639331513437412,7.0,0.19594594594594594,CP6A1,17
3502.046875,3502.20703125,3502.375,0.328125,32.33590342978024,6.847269708500732,1.6898246423667542,0.467896026374991,13.731348409473963,4.0,0.4823529411764706,CP6A1,17
3570.62109375,3570.87890625,3570.93359375,0.3125,29.925161741679318,7.286583269250552,1.9193247712343682,0.4091765902841479,13.30850979600158,3.0,0.8148148148148148,CP6A1,17
3630.28125,3630.328125,3630.71875,0.4375,28.691011440557563,7.224244458049871,1.9013610618600345,0.6170354394328271,12.998015275634252,6.0,0.10619469026548672,CP6A1,17
3640.6953125,3640.80078125,3641.0390625,0.34375,22.33351925808671,5.824954616616645,1.6940379820177283,0.4856548664251149,12.462509033873896,4.0,0.30337078651685395,CP6A1,17
3738.15625,3738.38671875,3738.65234375,0.49609375,26.717057941151083,6.873329837981663,1.8677484380152272,0.4618699310823113,13.57691818204033,7.0,0.4609375,CP6A1,17
3742.125,3742.37890625,3742.671875,0.546875,38.54511657322873,9.599804424997767,2.212638230415611,0.5510408667905338,13.452066836942253,7.0,0.46099290780141844,CP6A1,17
3747.7109375,3747.90625,3748.171875,0.4609375,35.07262258985266,8.848799458616941,1.811272305383218,0.4619479578262027,11.485674468469124,6.0,0.42016806722689076,CP6A1,17
